timestamp,minutes_to_explosion,zone,h2s_ppm,co_ppm,pressure_kpa,temperature_c,vibration_ms2,hot_work_permit_active,shift_changeover,confined_space_entry,maintenance_crew_count,compound_risk_score,single_sensor_alarm,compound_alarm
2025-01-18 14:00:00,60.0,C,7.94,14.87,777.4,390.4,0.497,0,0,0,0,0.05,0,0
2025-01-18 14:00:30,59.5,C,7.59,15.61,774.1,383.5,0.524,0,0,0,0,0.0538,0,0
2025-01-18 14:01:00,59.0,C,8.5,16.61,796.0,386.3,0.523,0,0,0,0,0.0577,0,0
2025-01-18 14:01:30,58.5,C,8.16,16.25,811.7,385.9,0.561,0,0,0,0,0.0615,0,0
2025-01-18 14:02:00,58.0,C,9.03,15.21,774.0,389.6,0.611,0,0,0,0,0.0654,0,0
2025-01-18 14:02:30,57.5,C,8.89,17.07,787.5,392.0,0.573,0,0,0,0,0.0692,0,0
2025-01-18 14:03:00,57.0,C,9.46,15.81,720.5,381.5,0.6,0,0,0,0,0.0731,0,0
2025-01-18 14:03:30,56.5,C,9.81,18.03,753.7,392.9,0.617,0,0,0,0,0.0769,0,0
2025-01-18 14:04:00,56.0,C,9.56,17.54,785.4,392.9,0.693,0,0,0,0,0.0808,0,0
2025-01-18 14:04:30,55.5,C,9.97,18.74,794.2,381.9,0.668,0,0,0,0,0.0846,0,0
2025-01-18 14:05:00,55.0,C,9.77,18.96,777.5,405.1,0.685,0,0,0,0,0.0885,0,0
2025-01-18 14:05:30,54.5,C,9.64,19.57,817.1,391.1,0.766,0,0,0,0,0.0923,0,0
2025-01-18 14:06:00,54.0,C,11.14,19.11,750.5,383.3,0.793,0,0,0,0,0.0962,0,0
2025-01-18 14:06:30,53.5,C,9.83,19.58,790.3,385.2,0.807,0,0,0,0,0.1,0,0
2025-01-18 14:07:00,53.0,C,11.11,22.21,799.3,383.1,0.778,0,0,0,0,0.1038,0,0
2025-01-18 14:07:30,52.5,C,10.54,21.21,771.7,387.5,0.852,0,0,0,0,0.1077,0,0
2025-01-18 14:08:00,52.0,C,10.79,20.3,742.0,379.8,0.819,0,0,0,0,0.1115,0,0
2025-01-18 14:08:30,51.5,C,11.64,22.2,785.2,390.4,0.872,0,0,0,0,0.1154,0,0
2025-01-18 14:09:00,51.0,C,12.23,22.25,792.5,380.7,0.926,0,0,0,0,0.1192,0,0
2025-01-18 14:09:30,50.5,C,12.02,22.98,785.6,404.0,0.891,0,0,0,0,0.1231,0,0
2025-01-18 14:10:00,50.0,C,12.96,22.13,774.5,380.2,0.922,0,0,0,0,0.1269,0,0
2025-01-18 14:10:30,49.5,C,13.55,24.62,803.3,370.7,0.984,0,0,0,0,0.1308,0,0
2025-01-18 14:11:00,49.0,C,13.67,24.6,772.5,389.4,1.055,0,0,0,0,0.1346,0,0
2025-01-18 14:11:30,48.5,C,13.21,26.37,819.8,386.1,0.975,0,0,0,0,0.1385,0,0
2025-01-18 14:12:00,48.0,C,14.67,26.82,793.2,380.4,1.059,0,0,0,0,0.1423,0,0
2025-01-18 14:12:30,47.5,C,15.25,33.7,795.0,400.7,0.968,0,0,0,0,0.1462,0,0
2025-01-18 14:13:00,47.0,C,15.8,32.42,830.0,377.1,1.11,1,1,0,2,0.82,0,1
2025-01-18 14:13:30,46.5,C,17.04,35.6,785.0,398.5,1.135,1,1,0,4,0.8294,0,1
2025-01-18 14:14:00,46.0,C,17.74,37.06,741.4,378.1,1.183,1,1,0,4,0.8347,0,1
2025-01-18 14:14:30,45.5,C,17.2,37.33,809.2,402.1,1.119,1,1,0,3,0.8392,0,1
2025-01-18 14:15:00,45.0,C,19.32,37.26,790.1,393.8,1.215,1,1,1,8,0.8431,0,1
2025-01-18 14:15:30,44.5,C,19.31,40.29,799.9,387.4,1.133,1,1,1,6,0.8467,0,1
2025-01-18 14:16:00,44.0,C,20.04,41.18,794.7,403.0,1.193,1,1,1,8,0.8501,0,1
2025-01-18 14:16:30,43.5,C,20.98,42.01,784.8,383.7,1.218,1,1,1,6,0.8533,0,1
2025-01-18 14:17:00,43.0,C,22.02,46.47,770.3,395.9,1.217,1,1,1,8,0.8563,0,1
2025-01-18 14:17:30,42.5,C,20.14,48.68,809.0,383.7,1.355,1,1,1,6,0.8592,0,1
2025-01-18 14:18:00,42.0,C,22.9,51.2,805.7,396.1,1.145,1,1,1,6,0.862,0,1
2025-01-18 14:18:30,41.5,C,23.6,45.39,813.6,390.0,1.286,1,1,1,8,0.8646,0,1
2025-01-18 14:19:00,41.0,C,25.31,45.86,839.6,385.8,1.352,1,1,1,6,0.8672,0,1
2025-01-18 14:19:30,40.5,C,25.56,57.15,760.1,393.1,1.339,1,1,1,7,0.8698,0,1
2025-01-18 14:20:00,40.0,C,24.79,59.79,775.8,395.3,1.572,1,1,1,8,0.8722,0,1
2025-01-18 14:20:30,39.5,C,25.16,56.72,777.4,395.2,1.423,1,1,1,6,0.8746,0,1
2025-01-18 14:21:00,39.0,C,26.08,60.15,801.9,390.7,1.329,1,1,1,8,0.8769,0,1
2025-01-18 14:21:30,38.5,C,28.04,70.08,854.2,398.0,1.443,1,1,1,8,0.8792,0,1
2025-01-18 14:22:00,38.0,C,32.93,71.84,756.7,404.5,1.357,1,1,1,6,0.8815,0,1
2025-01-18 14:22:30,37.5,C,30.62,69.74,787.8,385.7,1.42,1,1,1,7,0.8837,0,1
2025-01-18 14:23:00,37.0,C,33.54,81.78,807.7,402.1,1.456,1,1,1,7,0.8858,0,1
2025-01-18 14:23:30,36.5,C,32.83,87.9,782.5,405.4,1.513,1,1,1,8,0.8879,0,1
